,Nuclei_Location_Center_X,Nuclei_Location_Center_Y
47260,699.5288065843621,316.8991769547325
47261,1148.1055118110237,321.13858267716535
47262,837.1470588235294,328.3981900452489
47263,706.0149253731344,341.52452025586354
47264,811.8133333333334,342.0857142857143
47265,203.62790697674416,508.6529516994633
47266,397.0761316872428,516.1358024691358
47267,1777.1386430678467,539.2802359882006
47268,437.3641160949868,577.3218997361478
47269,1623.3135593220338,742.5790960451977
47270,957.2805755395684,806.8129496402878
47271,1047.0720631786771,1054.5853899308984
47272,817.9511494252873,1192.574712643678
47273,1364.1306884480746,1210.6417736289382
47274,1381.501984126984,1273.688492063492
47275,105.66243194192376,1490.6787658802175
47276,207.74107142857144,1560.654761904762
47277,564.0035026269702,1609.3730297723291
47278,907.24,1618.744
47279,1214.5075239398084,1922.6361149110808
47280,243.4484210526316,1953.1431578947368
