,Nuclei_Location_Center_X,Nuclei_Location_Center_Y
59360,720.1943573667712,16.705329153605014
59361,423.8041401273885,22.105095541401276
59362,846.2815198618307,36.57858376511226
59363,1514.751507840772,49.276236429433055
59364,927.4852941176472,52.70588235294117
59365,55.41854304635761,54.794701986754966
59366,1274.5748663101604,85.49732620320856
59367,1960.5532846715328,98.4160583941606
59368,1141.6681922196797,101.64988558352402
59369,1291.909090909091,135.87424242424242
59370,291.5959367945824,140.31602708803612
59371,504.8174846625767,143.28067484662577
59372,112.65325342465754,152.98030821917808
59373,1813.60625,181.4607142857143
59374,657.0,191.3959243085881
59375,760.9728997289973,210.25880758807588
59376,1613.151179941003,243.1172566371681
59377,1004.3648293963256,247.8267716535433
59378,915.8079096045198,253.3531073446328
59379,203.6034236804565,256.35948644793154
59380,1114.5148367952522,256.8115727002967
59381,33.47962382445141,273.032131661442
59382,1494.4422788605698,291.4167916041979
59383,653.0245398773006,312.75766871165644
59384,297.2492668621701,320.5659824046921
59385,542.4656381486676,349.31837307152875
59386,1284.0382902938557,353.7773820124666
59387,1738.6304558680893,353.590203685742
59388,527.0095541401274,367.18471337579615
59389,1156.497572815534,370.123786407767
59390,2009.3389355742297,372.9901960784314
59391,269.0082508250825,381.190594059406
59392,983.5467128027682,401.9403114186851
59393,756.125,421.882183908046
59394,169.2537313432836,434.32338308457713
59395,1436.4743742550656,435.5029797377831
59396,371.2958656330749,444.30749354005167
59397,1105.847619047619,474.9537414965986
59398,1903.0863213811424,476.2576361221779
59399,640.7741935483871,484.562412342216
59400,1731.1731343283582,489.9044776119403
59401,113.67560321715818,520.8217158176943
59402,1345.638202247191,525.2651685393258
59403,1501.8323632130384,545.8172293364377
59404,333.5315934065934,555.0467032967033
59405,1690.4205607476636,582.6381842456609
59406,914.8070588235294,588.7717647058823
59407,1068.6849507735585,589.338959212377
59408,642.8778501628665,603.07003257329
59409,162.83935018050542,642.0099277978339
59410,1226.1885057471263,644.6735632183908
59411,1790.0946314831665,645.5350318471337
59412,1324.7210796915167,664.8676092544987
59413,1924.5821094793057,668.6208277703605
59414,995.0909090909092,687.4237288135594
59415,697.185303514377,688.4632587859425
59416,518.3969986357436,696.0545702592087
59417,1670.5257731958764,713.0283505154639
59418,222.76546391752575,740.7190721649484
59419,1163.9334442595673,772.1530782029951
59420,1754.2054263565892,777.125322997416
59421,1011.5142857142856,785.7662337662338
59422,1379.2004429678848,797.188261351052
59423,183.12872628726288,823.6747967479674
59424,1887.6835043409628,821.9542225730071
59425,753.723880597015,830.8925373134329
59426,1643.888440860215,847.2620967741935
59427,853.6091743119266,852.2633027522936
59428,634.2036775106083,855.5643564356436
59429,509.6731770833333,867.0872395833334
59430,1854.085381630013,908.2018111254852
59431,1021.2930648769576,911.7561521252796
59432,1627.5889423076924,926.4254807692308
59433,157.80640668523677,935.066852367688
59434,1515.4364508393285,956.2326139088728
59435,288.2265415549598,968.2091152815012
59436,1992.2715877437329,973.0849582172702
59437,1801.459574468085,976.690780141844
59438,238.01781472684087,984.2577197149644
59439,933.8676207513416,993.3416815742396
59440,839.2197125256673,1015.2094455852156
59441,509.8717105263158,1017.7064144736842
59442,687.3257575757576,1040.280303030303
59443,1427.230998509687,1052.533532041729
59444,147.32404181184668,1096.8583042973287
59445,1805.2162162162165,1110.2728857890147
